gpsTime,lat,lon,altitude,speed,bearing,accuracy
1530997843000,40.78549603,-102.36814751,1153.90002441406,3.75,6,3
1530997844000,40.7855237,-102.36813674,1153.59997558594,3.75,14.1,3
1530997845000,40.78554885,-102.36812036,1153.09997558594,3.75,23.1,3
1530997846000,40.78557011,-102.36809725,1152.5,3.75,36.5,3
1530997847000,40.78558759,-102.36806677,1152.90002441406,3.75,46.5,3
1530997848000,40.78560033,-102.36803082,1152.59997558594,3.75,56.9,3
1530997849000,40.78560749,-102.36799197,1152.09997558594,3.75,65.8,3
1530997850000,40.78560925,-102.36795158,1152,3.75,74.9,3
1530997851000,40.78560661,-102.36790983,1151.5,3.75,83.1,3
1530997852000,40.78560187,-102.3678672,1151,3.75,86.6,3
1530997853000,40.78559767,-102.36782584,1151.30004882812,3.75,87.6,3
1530997854000,40.78559497,-102.36778712,1151.5,3.75,86.4,3
1530997855000,40.78559177,-102.3677543,1152,3,87.6,3
1530997856000,40.78558961,-102.36772897,1152.40002441406,2.5,85.8,3
1530997857000,40.78558822,-102.36770847,1152.5,2.25,84.5,3
1530997858000,40.78558755,-102.36768879,1152.09997558594,2,82.6,3
1530997859000,40.78558691,-102.36766995,1151.5,2,85,3
1530997860000,40.78558612,-102.36765169,1151.09997558594,2,88,3
1530997861000,40.7855846,-102.36763439,1151.19995117188,2,90.2,3
1530997862000,40.7855837,-102.36761771,1151,1.75,90.6,3
1530997863000,40.78558337,-102.36760051,1151.90002441406,1.75,89.3,3
1530997864000,40.78558336,-102.3675835,1151.90002441406,1.75,88.2,3
1530997865000,40.78558351,-102.36756709,1152.5,1.75,88.7,3
1530997866000,40.78558288,-102.3675504,1152.19995117188,1.75,89,3
1530997867000,40.78558246,-102.36753508,1152,1.75,90.2,3
1530997868000,40.78558278,-102.36751831,1152.40002441406,1.75,89.2,3
1530997869000,40.78558165,-102.36750025,1151.30004882812,1.75,90.9,3
1530997870000,40.78558023,-102.36748226,1151.69995117188,1.75,90.6,3
1530997871000,40.78558057,-102.367465,1152.30004882812,1.75,89.3,3
